"id","time","actor","action","content","type"
"LOG_015","1394423462","1","授業作成","先生 1 は新しい授業を作成したい","オペレーション"
"LOG_017","1394423462","システム","授業作成","先生 1 は新しい授業を作成できない","エラー"
"LOG_015","1394423595","1","授業作成","先生 1 は新しい授業を作成したい","オペレーション"
"LOG_042","1394423595","システム","ファイルアップロード","サーバーで files/documents/doc_1_1394423595.pdfファイルはアップロードできる","イベント"
"LOG_042","1394423595","システム","ファイルアップロード","サーバーで files/tests/test_1_1394423595.tsvファイルはアップロードできる","イベント"
"LOG_016","1394423595","システム","授業作成","先生 1 は新しい授業を作成できる","イベント"
"LOG_015","1394423679","1","授業作成","先生 1 は新しい授業を作成したい","オペレーション"
"LOG_042","1394423679","システム","ファイルアップロード","サーバーで files/documents/doc_1_1394423679.pdfファイルはアップロードできる","イベント"
"LOG_042","1394423679","システム","ファイルアップロード","サーバーで files/tests/test_1_1394423679.tsvファイルはアップロードできる","イベント"
"LOG_016","1394423679","システム","授業作成","先生 1 は新しい授業を作成できる","イベント"
"LOG_001","1394444304","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394444644","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394457940","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394458430","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394458451","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394458456","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394460386","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394460421","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394460486","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394460555","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394460595","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394460764","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394461450","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394461791","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394461856","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394462543","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394462609","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394462671","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394462874","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394462965","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394463149","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394463298","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394467575","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394467825","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1394468049","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394468180","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1394470619","先生1","ログイン","先生 thang はログインできた","オペレーション"
