"id","time","actor","action","content","type"
"LOG_003","1396285517","先生　","登録","先生  が作成できた","オペレーション"
"LOG_004","1396285517","先生　","登録","usersデータベースに先生  を追加した","イベント"
"LOG_003","1396285638","先生　","登録","先生  が作成できた","オペレーション"
"LOG_004","1396285638","先生　","登録","usersデータベースに先生  を追加した","イベント"
"LOG_003","1396285753","先生　18","登録","先生 18 が作成できた","オペレーション"
"LOG_004","1396285753","先生　18","登録","usersデータベースに先生  を追加した","イベント"
"LOG_003","1396285782","先生　19","登録","先生 19 が作成できた","オペレーション"
"LOG_004","1396285782","先生　19","登録","usersデータベースに先生 ngothang を追加した","イベント"
"LOG_001","1396285952","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_006","1396285960","1","プロファイル変化","先生 1 は自分のプロファイル変化する","オペレーション"
"LOG_007","1396285960","システム","プロファイル変化","先生 1 は自分のプロファイル変化できる","イベント"
"LOG_006","1396285965","1","プロファイル変化","先生 1 は自分のプロファイル変化する","オペレーション"
"LOG_007","1396285965","システム","プロファイル変化","先生 1 は自分のプロファイル変化できる","イベント"
"LOG_006","1396285980","1","プロファイル変化","先生 1 は自分のプロファイル変化する","オペレーション"
"LOG_007","1396285980","システム","プロファイル変化","先生 1 は自分のプロファイル変化できる","イベント"
"LOG_006","1396286018","1","プロファイル変化","先生 1 は自分のプロファイル変化する","オペレーション"
"LOG_007","1396286018","システム","プロファイル変化","先生 1 は自分のプロファイル変化できる","イベント"
"LOG_001","1396320682","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_001","1396321089","先生1","ログイン","先生 thang はログインできた","オペレーション"
"LOG_001","1396321129","学生12","ログイン","学生 duc はログインできた","オペレーション"
"LOG_003","1396351522","先生　20","登録","先生 20 が作成できた","オペレーション"
"LOG_004","1396351522","先生　20","登録","usersデータベースに先生 ngothang123 を追加した","イベント"
"LOG_003","1396351838","先生　21","登録","先生 21 が作成できた","オペレーション"
"LOG_004","1396351838","先生　21","登録","usersデータベースに先生 ngothang123 を追加した","イベント"
"LOG_001","1396364847","学生12","ログイン","学生 duc はログインできた","オペレーション"
